date,value,indicator_id
01/2018,79.0,LNS12300060
12/2017,79.1,LNS12300060
11/2017,79.0,LNS12300060
10/2017,78.9,LNS12300060
09/2017,78.9,LNS12300060
08/2017,78.4,LNS12300060
07/2017,78.6,LNS12300060
06/2017,78.6,LNS12300060
05/2017,78.4,LNS12300060
04/2017,78.6,LNS12300060
03/2017,78.5,LNS12300060
02/2017,78.4,LNS12300060
01/2017,78.2,LNS12300060
12/2016,78.1,LNS12300060
11/2016,78.1,LNS12300060
10/2016,78.2,LNS12300060
09/2016,78.0,LNS12300060
08/2016,77.8,LNS12300060
07/2016,77.9,LNS12300060
06/2016,77.9,LNS12300060
05/2016,77.8,LNS12300060
04/2016,77.8,LNS12300060
03/2016,78.0,LNS12300060
02/2016,77.8,LNS12300060
01/2016,77.7,LNS12300060
01/2018,4989,LNS12032194
12/2017,4915,LNS12032194
11/2017,4851,LNS12032194
10/2017,4880,LNS12032194
09/2017,5148,LNS12032194
08/2017,5209,LNS12032194
07/2017,5236,LNS12032194
06/2017,5264,LNS12032194
05/2017,5268,LNS12032194
04/2017,5309,LNS12032194
03/2017,5500,LNS12032194
02/2017,5670,LNS12032194
01/2017,5776,LNS12032194
12/2016,5554,LNS12032194
11/2016,5719,LNS12032194
10/2016,5955,LNS12032194
09/2016,5893,LNS12032194
08/2016,5977,LNS12032194
07/2016,5898,LNS12032194
06/2016,5751,LNS12032194
05/2016,6491,LNS12032194
04/2016,6027,LNS12032194
03/2016,6099,LNS12032194
02/2016,6021,LNS12032194
01/2016,5960,LNS12032194
01/2018,26.74,CES0500000003
12/2017,26.65,CES0500000003
11/2017,26.54,CES0500000003
10/2017,26.47,CES0500000003
09/2017,26.51,CES0500000003
08/2017,26.39,CES0500000003
07/2017,26.34,CES0500000003
06/2017,26.26,CES0500000003
05/2017,26.21,CES0500000003
04/2017,26.17,CES0500000003
03/2017,26.11,CES0500000003
02/2017,26.07,CES0500000003
01/2017,25.99,CES0500000003
12/2016,25.95,CES0500000003
11/2016,25.90,CES0500000003
10/2016,25.88,CES0500000003
09/2016,25.78,CES0500000003
08/2016,25.72,CES0500000003
07/2016,25.70,CES0500000003
06/2016,25.62,CES0500000003
05/2016,25.58,CES0500000003
04/2016,25.53,CES0500000003
03/2016,25.46,CES0500000003
02/2016,25.38,CES0500000003
01/2016,25.38,CES0500000003
